DIRECCION_COMPLETA,CLASE_VIAL,NOMBRE_VIAL,NUMERO,DISTRITO,UTMX,UTMY,Horario,Direccion
PlazaSantaBarbara_5,Plaza,Santa Bárbara,5,CENTRO,440928.63,4475438.21,MARTES_TARDE_14:00_15:30,"Plaza Santa Bárbara, 5"
CalleHumanes_27,Calle,Humanes,27,PUENTE VALLECAS,445210.15,4471826.88,MARTES_TARDE_15:45_17:15,"Calle Humanes, 27"
CalleMontearagon_11,Calle,Montearagón,11,HORTALEZA,444177.72,4479401.51,MARTES_TARDE_15:45_17:15,"Calle Montearagón, 11"
CallePrincipe_18,Calle,Príncipe,18,CENTRO,440580.55,4474086.94,MARTES_TARDE_15:45_17:15,"Calle Príncipe, 18"
AvenidaRafaelaYbarra_20,Avenida,Rafaela Ybarra,20,USERA,439616.8,4470396.11,MARTES_TARDE_17:30_19:00,"Avenida Rafaela Ybarra, 20"
AvenidadeBuenosAires_25,Avenida,de Buenos Aires,25,PUENTE VALLECAS,444594.75,4470982.35,MARTES_TARDE_19:15_20:45,"Avenida de Buenos Aires, 25"
CalleEzequielSolana_73,Calle,Ezequiel Solana,73,CIUDAD LINEAL,445454.96,4475511.91,MARTES_TARDE_19:15_20:45,"Calle Ezequiel Solana, 73"
CalleRiberadeCurtidores_37-(A_B_C),Calle,Ribera de Curtidores,"37- (A, B, C)",CENTRO,439996.74,4473123.76,MARTES_TARDE_19:15_20:45,"Calle Ribera de Curtidores, 37- (A, B, C)"
CalleManuelNoya_15,Calle,Manuel Noya,15,USERA,439532.69,4470930.76,MARTES_TARDE_19:15_20:45,"Calle Manuel Noya, 15"
AvenidaVictoria_77,Avenida,Victoria,77,MONCLOA-ARAVACA,429298.03,4480698.94,MIÉRCOLES_MAÑANA_7:00_8:30,"Avenida Victoria, 77"
CalleTrompas_15,Calle,Trompas,15,LATINA,435002.22,4469264.49,MIÉRCOLES_MAÑANA_7:00_8:30,"Calle Trompas, 15"
AvenidaInstitucionLibredeEnsenianza_1,Avenida,Institución Libre de Enseñanza,1,SAN BLAS-CANILLEJAS,445922.76,4476537.04,MIÉRCOLES_MAÑANA_7:00_8:30,"Avenida Institución Libre de Enseñanza, 1"
CalleJoaquinTurina_62,Calle,Joaquín Turina,62,CARABANCHEL,435614.07,4469349.07,MIÉRCOLES_MAÑANA_7:00_8:30,"Calle Joaquín Turina, 62"
PaseoAlbertoPalacios_1InterseccionconPlazaAgata,Paseo,Alberto Palacios,1,VILLAVERDE,439756.38,4466455.18,MIÉRCOLES_MAÑANA_7:00_8:30,"Paseo Alberto Palacios, 1"
AvenidaValdemarin_71AInterseccionconCalleCisne,Avenida,Valdemarín,71 A,MONCLOA-ARAVACA,434014.29,4480227.88,MIÉRCOLES_MAÑANA_8:45_10:15,"Avenida Valdemarín, 71 A"
CalleCastillodeUcles_InterseccionconCalleCastillodeSimancasyfrenteaCalleYuncos_1,Calle,Castillo de Uclés,,SAN BLAS-CANILLEJAS,447136.02,4475688.59,MIÉRCOLES_MAÑANA_8:45_10:15,"Calle Castillo de Uclés, "
CalleGuarenia_AlladoAuditorioPacodeLucia,Calle,Guareña,,LATINA,435085.62,4470795.23,MIÉRCOLES_MAÑANA_8:45_10:15,"Calle Guareña, "
