Identifier,Description,AddressID,DistrictCode,DistrictName,NeighborhoodCode,NeighborhoodName,same_as_wikidata_barrio,OperativeStatus,Address
181202,SITUADO-APARCABICICLETAS-CENTRO-COMERCIAL-LA-ERMITA,181202,10,Latina,101,Los Cármenes,https://wikidata.org/entity/Q10319792,OPERATIVO,"Paseo de la Ermita del Santo,66"
182236,SITUADO-APARCABICICLETAS-COLEGIO-PUBLICO-BOLIVIA,182236,10,Latina,103,Lucero,https://wikidata.org/entity/Q31162,OPERATIVO,"CALLE VILLAVALIENTE,29,29"
182617,SITUADO-APARCABICICLETAS-COLEGIO-DIVINO-MAESTRO,182617,10,Latina,103,Lucero,https://wikidata.org/entity/Q31162,OPERATIVO,"Paseo de Extremadura,165"
182945,Situado-Aparcabicicletas-FRENTE-AL-PARQUE-CARAMUEL-(Cerca-de-la-cancha),182945,10,Latina,102,Barrio de Puerta del Ángel,https://wikidata.org/entity/Q31142,OPERATIVO,"CALLE CARAMUEL,58,58"
184345,SITUADO-APARCABICICLETAS-SALA-DE-LECTURA-JUNTA-MUNICIPAL-DE-LATINA,184345,10,Latina,102,Barrio de Puerta del Ángel,https://wikidata.org/entity/Q31142,OPERATIVO,"Paseo de Extremadura,128"
186568,SITUADO-APARCABICICLETAS-C.P.-FERNANDEZ-MORATIN,186568,9,Moncloa-Aravaca,91,Casa de Campo,https://wikidata.org/entity/Q16302441,OPERATIVO,"Avenida de Valladolid, Madrid,2"
186977,SITUADO-APARCABICICLETAS-CENTRO-DEPORTIVO-MUNICIPAL-JOSE-MARIA-CAGIGAL,186977,9,Moncloa-Aravaca,91,Casa de Campo,https://wikidata.org/entity/Q16302441,OPERATIVO,"CALLE SANTA FE,4,4"
187018,SITUADO-APARCABICICLETAS-CENTRO-DEPORTIVO-MUNICIPAL-LA-BOMBILLA,187018,9,Moncloa-Aravaca,91,Casa de Campo,https://wikidata.org/entity/Q16302441,OPERATIVO,"CALLE SENDA DEL REY,8,8"
190946,SITUADO-APARCABICICLETAS-ESTACION-DE-CERCANIAS-ARAVACA-(-C/-DE-LA-GOLONDRINA-104),190946,9,Moncloa-Aravaca,97,Aravaca,https://wikidata.org/entity/Q3314682,OPERATIVO,"CALLE GOLONDRINA,104,104"
191467,Situado-Aparcabicicletas-ESTACIÓN-DE-CERCANÍAS-ARAVACA-(-C/-de-la-golondrina-cv-C/Rosas-de-Aravaca),191467,9,Moncloa-Aravaca,97,Aravaca,https://wikidata.org/entity/Q3314682,OPERATIVO,"CALLE GOLONDRINA,104,104"
193973,SITUADO-APARCABICICLETAS-GLORIETA-DE-ROCIO-DURCAL,193973,9,Moncloa-Aravaca,93,Ciudad Universitaria,https://wikidata.org/entity/Q3319235,OPERATIVO,"avenida de Pablo Iglesias,93"
194340,SITUADO-APARCABICICLETAS-CENTRO-CULTURAL-JUAN-GRIS,194340,9,Moncloa-Aravaca,94,Valdezarza,https://wikidata.org/entity/Q10388728,OPERATIVO,"Calle de Francos Rodríguez, Madrid,100"
194451,SITUADO-APARCABICICLETAS-C.P-ANDRES-MANJON,194451,9,Moncloa-Aravaca,93,Ciudad Universitaria,https://wikidata.org/entity/Q3319235,OPERATIVO,"CALLE MARIA AUXILIADORA,2,2"
