PROVINCIA,CODIGO-PROVINCIA,AYUNTAMIENTO,CODIGO-AYUNTAMIENTO,PLAYA,UBICACION,LONGITUD-PLAYA,TIPO-PLAYA,TIPO-DE-ARENA,LATITUD,LONGITUD,MAS-INFORMACION
A_Coruna,15,Boiro,15011,Pineiron,Banda_o_Rio_-_Castro_(Santa_Maria),85,Playa_resguardada,Fina,42.614845,-8.884986,http://www.turismo.gal/ficha-recurso?cod_rec=280381736
A_Coruna,15,Camarinas,15123,Arou,Camelle_(O_Espirito_Santo),400,Playa_abierta,Fina,43.184723,-9.105,http://www.turismo.gal/recurso/-/detalle/10290/arou
A_Coruna,15,Carballo,15019,Pedra_do_Sal,,3600,Playa_abierta,Fina,43.301889,-8.658278,http://www.turismo.gal/ficha-recurso?cod_rec=268882051
A_Coruna,15,Carballo,15019,Sainas,,3600,Playa_abierta,Fina,43.298027,-8.680305,http://www.turismo.gal/ficha-recurso?cod_rec=268649359
A_Coruna,15,A_Coruna,15030,As_Lapas,Paseo_Maritimo,70,Playa_resguardada,Gruesa,43.383666,-8.40575,http://www.turismo.gal/ficha-recurso?cod_rec=11435
A_Coruna,15,A_Coruna,15030,Orzan-Matadero,Orzan,600,Playa_abierta,Gruesa,43.371055,-8.404972,http://www.turismo.gal/ficha-recurso?cod_rec=9856
A_Coruna,15,A_Coruna,15030,Riazor,Paseo_Maritimo,600,Playa_abierta,Gruesa,43.368472,-8.411639,http://www.turismo.gal/ficha-recurso?cod_rec=9857
A_Coruna,15,A_Coruna,15030,San_Amaro,Adormideras,210,Playa_resguardada,Fina,43.381833,-8.397055,http://www.turismo.gal/ficha-recurso?cod_rec=9855
A_Coruna,15,Dumbria,15034,Ezaro,O_Ezaro_(Santa_Uxia),730,Playa_abierta,Fina,42.908278,-9.129083,http://www.turismo.gal/ficha-recurso?cod_rec=11460
A_Coruna,15,Ferrol,15036,Doninos,Doninos_(San_Roman),1700,Playa_abierta,Fina,43.495916,-8.319194,http://www.turismo.gal/ficha-recurso?cod_rec=10112
A_Coruna,15,Ferrol,15036,San_Xurxo,Vila_da_Area_-_San_Xurxo_da_Marina_(San_Xurxo),2100,Playa_abierta,Fina,43.526222,-8.301806,http://www.turismo.gal/ficha-recurso?cod_rec=10111
A_Coruna,15,Ferrol,15036,Esmelle,Esmelle,160,Playa_abierta,Fina,43.53425,-8.295527,http://www.turismo.gal/ficha-recurso?cod_rec=265393177
A_Coruna,15,Ferrol,15036,A_Fragata-Paxeiral_(Covas),Esmelle,161,Playa_abierta,Fina,43.5385,-8.296833,http://www.turismo.gal/ficha-recurso?cod_rec=10216
A_Coruna,15,Fisterra,15155,Langosteira,Calcova_-_San_Martino_de_Duio_(San_Martino),1900,Playa_resguardada,Fina,42.921999,-9.26075,http://www.turismo.gal/ficha-recurso?cod_rec=9888
A_Coruna,15,A_Laracha,15041,Caion-Salseiras,Caion_(Santa_Maria_do_Socorro),800,Playa_resguardada,Fina,43.315639,-8.610333,http://www.turismo.gal/ficha-recurso?cod_rec=11438
A_Coruna,15,Laxe,15040,Praia_de_Laxe,Laxe_(Santa_Maria),1320,Playa_resguardada,Fina,43.217722,-9.001944,http://www.turismo.gal/ficha-recurso?cod_rec=9867
A_Coruna,15,Manon,15044,Bares,Bares,1500,Playa_resguardada,Fina,43.771944,-7.668333,http://www.turismo.gal/ficha-recurso?cod_rec=10183
A_Coruna,15,Manon,15044,Esteiro,O_Esteiro,185,Playa_resguardada,Fina,43.749166,-7.72236,http://www.turismo.gal/ficha-recurso?cod_rec=9851
